kata_asli,kata_stemmed
Jakarta,Jakarta
CNN,CNN
Indonesia,Indonesia
Kepergian,Keperg
mendiang,mendiang
Paus,Paus
Fransiskus,Fransiskus
Senin,Senin
21,21
4,4
memunculkan,muncul
penerus,penerus
pemimpin,pemimpin
umat,umat
Katolik,Katolik
dunia,dunia
Sejumlah,Sejum
nama,nama
kardinal,kardinal
mencuat,cuat
dianggap,anggap
calon,calon
kuat,kuat
penerus,penerus
Paus,Paus
Fransiskus,Fransiskus
Beberapa,Beberapa
nama,nama
menorehkan,menoreh
sejarah,sejarah
terpilih,pilih
menggantikan,menggant
Paus,Paus
Fransiskus,Fransiskus
lantaran,lantar
berasal,asal
Kawasan,Kawas
Asia,Asia
Afrika,Afrika
Berikut,Berikut
nama,nama
kardinal,kardinal
digadang,gadang
gadang,gadang
kuat,kuat
penerus,penerus
Paus,Paus
Fransiskus,Fransiskus
pemimpin,pemimpin
umat,umat
Katolik,Katolik
Vatikan,Vat
Luis,Luis
Antonio,Antonio
sang,sang
Fransiskus,Fransiskus
Asia,Asia
Luis,Luis
Antonio,Antonio
Tagle,Tagle
salah,salah
kandidat,kandidat
unggulan,unggul
bursa,bursa
pemilihan,pemilih
penerus,penerus
Paus,Paus
Fransiskus,Fransiskus
Pria,Pria
berasal,asal
Filipina,Filipina
berpotensi,berpotens
paus,paus
Asia,Asia
sejarah,sejarah
Kardinal,Kardinal
berusia,usia
67,67
populer,populer
kalangan,kalang
kaum,kaum
progresif,progresif
Gereja,Gereja
Katolik,Katolik
Ia,Ia
dijuluki,juluk
Fransiskus,Fransiskus
Asia,Asia
pembawaannya,bawa
hangat,hangat
pandangan,pandang
progresif,progresif
mendiang,mendiang
Paus,Paus
Fransiskus,Fransiskus
dianggap,anggap
reformis,reformis
gereja,gereja
Kardinal,Kardinal
Tagle,Tagle
terkenal,kenal
kesederhanaannya,sederhana
mendiang,mendiang
Paus,Paus
Fransiskus,Fransiskus
Ia,Ia
tinggal,tinggal
seminari,seminari
Filipina,Filipina
20,20
menempati,empat
kamar,kamar
AC,AC
televisi,televisi
Bahkan,Bah
diangkat,angkat
uskup,uskup
menolak,olak
mobil,mobil
dinas,dinas
memilih,memilih
bus,bus
jeepney,jeepney
Edward,Edward
Pentin,Pentin
pakar,pakar
Vatikan,Vat
penulis,penulis
buku,buku
The,The
Next,Next
Pope,Pope
The,The
Leading,Leading
Cardinal,Cardinal
Candidates,Candidates
Kardinal,Kardinal
Tagle,Tagle
salah,salah
favorit,favorit
Paus,Paus
Fransiskus,Fransiskus
menggantikannya,menggant
Kardinal,Kardinal
Tagle,Tagle
menjabat,jabat
kepala,kepala
dikasteri,dikaster
evangelisasi,evangelisas
gereja,gereja
Ia,Ia
kandidat,kandidat
kuat,kuat
Dan,D
usianya,usia
tergolong,golong
muda,muda
Pentin,Pentin
dikutip,kutip
The,The
Telegraph,Telegraph
Namun,Namun
usianya,usia
penghalangnya,halang
terpilih,pilih
penerus,penerus
Paus,Paus
Fransiskus,Fransiskus
Sebab,Sebab
kardinal,kardinal
cenderung,cenderung
berhati,berhat
hati,hati
memilih,memilih
paus,paus
relatif,relatif
