kata_awal,kata_stemming,kata_dasar_terdeteksi
jakarta,jakarta,akar
cnn,cnn,cnn
indonesia,indonesia,don
kepergian,pergi,erg
mendiang,mendiang,dia
paus,paus,aus
fransiskus,fransiskus,kus
senin,senin,sen
21,21,21
4,4,4
memunculkan,muncul,mu
penerus,penerus,eru
pemimpin,pemimpin,impi
umat,umat,mat
katolik,katolik,ato
dunia,dunia,dunia
nama,nama,ama
kardinal,kardinal,ardi
mencuat,mencuat,cua
dianggap,anggap,angga
calon,calon,alon
kuat,kuat,kuat
penerus,penerus,eru
paus,paus,aus
fransiskus,fransiskus,kus
nama,nama,ama
menorehkan,menoreh,menor
sejarah,sejarah,ara
terpilih,terpilih,ili
menggantikan,mengganti,anti
paus,paus,aus
fransiskus,fransiskus,kus
lantaran,lantar,anta
berasal,berasal,asa
kawasan,kawasan,asa
asia,asia,asi
afrika,afrika,afrika
nama,nama,ama
kardinal,kardinal,ardi
digadang,gadang,ada
gadang,gadang,ada
kuat,kuat,kuat
penerus,penerus,eru
paus,paus,aus
fransiskus,fransiskus,kus
pemimpin,pemimpin,impi
umat,umat,mat
katolik,katolik,ato
vatikan,vatikan,ati
luis,luis,uis
antonio,antonio,ton
sang,sang,sang
fransiskus,fransiskus,kus
asia,asia,asi
luis,luis,uis
antonio,antonio,ton
tagle,tagle,tagle
salah,salah,ala
kandidat,kandidat,ida
unggulan,unggul,gul
bursa,bursa,bur
pemilihan,pemilih,ili
penerus,penerus,eru
paus,paus,aus
fransiskus,fransiskus,kus
pria,pria,pria
berasal,berasal,asa
filipina,filipina,ili
berpotensi,berpotens,pot
paus,paus,aus
asia,asia,asi
sejarah,sejarah,ara
kardinal,kardinal,ardi
berusia,berusia,beru
67,67,67
populer,populer,pop
kalangan,kalang,ala
kaum,kaum,aum
progresif,progresif,es
gereja,gereja,eja
katolik,katolik,ato
dijuluki,juluk,juluk
fransiskus,fransiskus,kus
asia,asia,asi
pembawaannya,pembawa,awa
hangat,hangat,hang
pandangan,pandang,anda
progresif,progresif,es
mendiang,mendiang,dia
paus,paus,aus
fransiskus,fransiskus,kus
dianggap,anggap,angga
reformis,reformis,mi
gereja,gereja,eja
kardinal,kardinal,ardi
tagle,tagle,tagle
terkenal,terkenal,ken
kesederhanaannya,sederhana,ana
mendiang,mendiang,dia
paus,paus,aus
fransiskus,fransiskus,kus
tinggal,tinggal,tin
seminari,seminari,ari
filipina,filipina,ili
20,20,20
menempati,menempat,empat
kamar,kamar,ama
ac,ac,ac
televisi,televisi,isi
diangkat,angkat,angka
uskup,uskup,kup
menolak,menolak,lak
mobil,mobil,mob
dinas,dinas,din
memilih,memilih,ili
bus,bus,bus
jeepney,jeepney,jeepney
edward,edward,edward
pentin,pentin,pen
pakar,pakar,akar
vatikan,vatikan,ati
penulis,penulis,lis
buku,buku,buk
the,the,the
next,next,next
pope,pope,pop
the,the,the
leading,leading,adi
cardinal,cardinal,ardi
candidates,candidates,candi
kardinal,kardinal,ardi
tagle,tagle,tagle
salah,salah,ala
favorit,favorit,favorit
paus,paus,aus
fransiskus,fransiskus,kus
menggantikannya,mengganti,anti
kardinal,kardinal,ardi
tagle,tagle,tagle
menjabat,menjabat,aba
kepala,kepala,ala
dikasteri,dikaster,aster
evangelisasi,evangelisas,angel
gereja,gereja,eja
kandidat,kandidat,ida
kuat,kuat,kuat
usianya,usia,sia
tergolong,tergolong,erg
muda,muda,mu
pentin,pentin,pen
dikutip,kutip,kuti
the,the,the
telegraph,telegraph,rap
usianya,usia,sia
penghalangnya,penghalang,ala
terpilih,terpilih,ili
penerus,penerus,eru
paus,paus,aus
fransiskus,fransiskus,kus
kardinal,kardinal,ardi
cenderung,cenderung,cenderung
berhati,berhat,berhat
hati,hati,ati
memilih,memilih,ili
paus,paus,aus
relatif,relatif,ati
muda,muda,mu
kepemimpinannya,kepemimpin,impi
puluhan,puluh,pul
pemilihan,pemilih,ili
paus,paus,aus
relatif,relatif,ati
muda,muda,mu
dianggap,anggap,angga
menghambat,menghambat,ham
peluang,peluang,elu
kardinal,kardinal,ardi
terpilih,terpilih,ili
paus,paus,aus
peter,ter,ter
turkson,turkson,tur
penasihat,nasihat,asi
paus,paus,aus
penasihat,nasihat,asi
kunci,kunci,kunci
paus,paus,aus
fransiskus,fransiskus,kus
isu,isu,isu
isu,isu,isu
perubahan,rubah,bah
iklim,iklim,iklim
keadilan,adil,adi
sosial,sosial,sia
kardinal,kardinal,ardi
peter,ter,ter
turkson,turkson,tur
dianggap,anggap,angga
calon,calon,alon
kuat,kuat,kuat
pemimpin,pemimpin,impi
umat,umat,mat
katolik,katolik,ato
dunia,dunia,dunia
lahir,lahir,lah
ghana,ghana,ana
turkson,turkson,tur
menorehkan,menoreh,menor
sejarah,sejarah,ara
paus,paus,aus
kulit,kulit,kuli
hitam,hitam,hit
terpilih,terpilih,ili
kardinal,kardinal,ardi
berusia,berusia,beru
76,76,76
tahuun,tahuun,tahu
diangkat,angkat,angka
uskup,uskup,kup
agung,agung,agun
cape,cape,ape
coast,coast,coast
paus,paus,aus
yohanes,yohanes,es
paulus,paulus,lus
ii,i,i
1992,1992,1992
sebelas,sebelas,bel
turkson,turkson,tur
diangkat,angkat,angka
kardinal,kardinal,ardi
sejarah,sejarah,ara
negara,negara,ara
afrika,afrika,afrika
