kata_awal,kata_stemming
jakarta,jakarta
cnn,cnn
indonesia,indonesia
kepergian,pergi
mendiang,mendiang
paus,paus
fransiskus,fransiskus
senin,senin
21,21
4,4
memunculkan,muncul
penerus,penerus
pemimpin,pemimpin
umat,umat
katolik,katolik
dunia,dunia
nama,nama
kardinal,kardinal
mencuat,mencuat
dianggap,anggap
calon,calon
kuat,kuat
penerus,penerus
paus,paus
fransiskus,fransiskus
nama,nama
menorehkan,menoreh
sejarah,sejarah
terpilih,terpilih
menggantikan,mengganti
paus,paus
fransiskus,fransiskus
lantaran,lantar
berasal,berasal
kawasan,kawasan
asia,asia
afrika,afrika
nama,nama
kardinal,kardinal
digadang,gadang
gadang,gadang
kuat,kuat
penerus,penerus
paus,paus
fransiskus,fransiskus
pemimpin,pemimpin
umat,umat
katolik,katolik
vatikan,vatikan
luis,luis
antonio,antonio
sang,sang
fransiskus,fransiskus
asia,asia
luis,luis
antonio,antonio
tagle,tagle
salah,salah
kandidat,kandidat
unggulan,unggul
bursa,bursa
pemilihan,pemilih
penerus,penerus
paus,paus
fransiskus,fransiskus
pria,pria
berasal,berasal
filipina,filipina
berpotensi,berpotens
paus,paus
asia,asia
sejarah,sejarah
kardinal,kardinal
berusia,berusia
67,67
populer,populer
kalangan,kalang
kaum,kaum
progresif,progresif
gereja,gereja
katolik,katolik
dijuluki,juluk
fransiskus,fransiskus
asia,asia
pembawaannya,pembawa
hangat,hangat
pandangan,pandang
progresif,progresif
mendiang,mendiang
paus,paus
fransiskus,fransiskus
dianggap,anggap
reformis,reformis
gereja,gereja
kardinal,kardinal
tagle,tagle
terkenal,terkenal
kesederhanaannya,sederhana
mendiang,mendiang
paus,paus
fransiskus,fransiskus
tinggal,tinggal
seminari,seminari
filipina,filipina
20,20
menempati,menempat
kamar,kamar
ac,ac
televisi,televisi
diangkat,angkat
uskup,uskup
menolak,menolak
mobil,mobil
dinas,dinas
memilih,memilih
bus,bus
jeepney,jeepney
edward,edward
pentin,pentin
pakar,pakar
vatikan,vatikan
penulis,penulis
buku,buku
the,the
next,next
pope,pope
the,the
leading,leading
cardinal,cardinal
candidates,candidates
kardinal,kardinal
tagle,tagle
salah,salah
favorit,favorit
paus,paus
fransiskus,fransiskus
menggantikannya,mengganti
kardinal,kardinal
tagle,tagle
menjabat,menjabat
kepala,kepala
dikasteri,dikaster
evangelisasi,evangelisas
gereja,gereja
kandidat,kandidat
kuat,kuat
usianya,usia
tergolong,tergolong
muda,muda
pentin,pentin
dikutip,kutip
the,the
telegraph,telegraph
usianya,usia
penghalangnya,penghalang
terpilih,terpilih
penerus,penerus
paus,paus
fransiskus,fransiskus
kardinal,kardinal
cenderung,cenderung
berhati,berhat
hati,hati
memilih,memilih
paus,paus
relatif,relatif
muda,muda
kepemimpinannya,kepemimpin
puluhan,puluh
pemilihan,pemilih
paus,paus
relatif,relatif
muda,muda
dianggap,anggap
menghambat,menghambat
peluang,peluang
kardinal,kardinal
terpilih,terpilih
paus,paus
peter,ter
turkson,turkson
penasihat,nasihat
paus,paus
penasihat,nasihat
kunci,kunci
paus,paus
fransiskus,fransiskus
isu,isu
